,Address,Rentel_price,No_of_bed,No_of_bathroom,Area,Pets,Deposit,City,State code,Country,Washer/Dryer,Air_Conditioning,Parking,Fireplace,Dishwasher,Hardwood_floor,Roofdeck,Storage,Sno
3821,"Reservoir Road, Metchley, B29 6ST, United Kingdom",£ 1182,       3        Bed     ,       1        Bath     ,,,, Metchley, B29 6ST, United Kingdom,No,No,No,No,No,No,No,No,3821
3822,"21 Harrow Road, Selly Oak, B29 7DN, United Kingdom",£ 1733,       4        Bed     ,       1        Bath     ,,,, Selly Oak, B29 7DN, United Kingdom,No,No,No,No,No,No,No,No,3822
3823,"South West Campus, Metchley, B15 2GG, United Kingdom",£ 4263 ,       1        Bed     ,       1        Bath     ,       700        Sq Ft     ,No,, Metchley, B15 2GG, United Kingdom,No,No,Yes,No,Yes,No,No,No,3823
3824,"103 Teignmouth Road, Selly Oak, B29 7AX, United Kingdom",£ 2912,       5        Bed     ,       2        Bath     ,,,, Selly Oak, B29 7AX, United Kingdom,No,No,No,No,No,No,No,No,3824
3825,"251 Heeley Road, Selly Oak, B29 6EL, United Kingdom",£ 768,       6        Bed     ,       6        Bath     ,,,, Selly Oak, B29 6EL, United Kingdom,No,No,No,No,No,No,No,No,3825
3826,"Staycity Aparthotel, 88 Charlotte Street, Park Central, B3 1PW, United Kingdom",£ 1630,       2        Bed     ,       2        Bath     ,,,, Park Central, B3 1PW, United Kingdom,No,No,No,No,No,No,No,No,3826
3827,"Weoley Castle Inn Crown Green Bowling Club, Shenley Lane, Weoley Castle, B29 5PN, United Kingdom",£ 1250,       3        Bed     ,       1        Bath     ,,,, Weoley Castle, B29 5PN, United Kingdom,No,No,No,No,No,No,No,No,3827
3828,"New Hampton Lofts, 90 Great Hampton Street, Aston, B18 6EU, United Kingdom",£ 1495,       2        Bed     ,       2        Bath     ,,,, Aston, B18 6EU, United Kingdom,No,No,No,No,No,No,No,No,3828
3829,"35 Gristhorpe Road, Stirchley, B29 7TD, United Kingdom",£ 1645,       4        Bed     ,       1        Bath     ,,,, Stirchley, B29 7TD, United Kingdom,No,No,No,No,No,No,No,No,3829
3830,"Christopher Road, Selly Oak, B29 6QJ, United Kingdom",£ 1195,       3        Bed     ,       2        Bath     ,,,, Selly Oak, B29 6QJ, United Kingdom,No,No,No,No,No,No,No,No,3830
3831,"22 Luton Road, Selly Oak, B29 7BN, United Kingdom",£ 1625,       5        Bed     ,       1        Bath     ,,,, Selly Oak, B29 7BN, United Kingdom,No,No,No,No,No,No,No,No,3831
3832,"Mayham &amp; Co Ltd, 24 Tenby Street North, Aston, B1 3EN, United Kingdom",£ 7745,       4        Bed     ,       4        Bath     ,,,, Aston, B1 3EN, United Kingdom,No,No,No,No,No,No,No,No,3832
3833,"4 School Terrace, Selly Oak, B29 6DY, United Kingdom",£ 2492,       5        Bed     ,       2        Bath     ,,,, Selly Oak, B29 6DY, United Kingdom,No,No,No,No,No,No,No,No,3833
3834,"21 York Street, Harborne, B17 0HG, United Kingdom",£ 1750,       3        Bed     ,       2        Bath     ,,,, Harborne, B17 0HG, United Kingdom,No,No,No,No,No,No,No,No,3834
3835,"61 Sandon Road, Harborne, B17 8DT, United Kingdom",£ 1095,       3        Bed     ,,,,, Harborne, B17 8DT, United Kingdom,No,No,No,No,No,No,No,No,3835
3836,"unnamed road, Attwood Green, B5 7XW, United Kingdom",£ 9999,       11        Bed     ,       3        Bath     ,,,, Attwood Green, B5 7XW, United Kingdom,No,No,No,No,No,No,No,No,3836
3837,"290 Quinton Road, Weoley Castle, B17 0RF, United Kingdom",£ 1250,       3        Bed     ,       1        Bath     ,,,, Weoley Castle, B17 0RF, United Kingdom,No,No,No,No,No,No,No,No,3837
3838,"Laundry Road, Bearwood, B66 4PR, United Kingdom",£ 1000,       3        Bed     ,       1        Bath     ,,,, Bearwood, B66 4PR, United Kingdom,No,No,No,No,No,No,No,No,3838
3839,"Ledwell, Dickens Heath, B90 1SL, United Kingdom",£ 950,       2        Bed     ,       1        Bath     ,,,, Dickens Heath, B90 1SL, United Kingdom,No,No,No,No,No,No,No,No,3839
3840,"58 Westminster Road, Stirchley, B29 7RS, United Kingdom",£ 1369,       4        Bed     ,       1        Bath     ,,,, Stirchley, B29 7RS, United Kingdom,No,No,No,No,No,No,No,No,3840
3841,"Frankie & Benny's, Ladywood Middleway, Chad Valley, B16 8LP, United Kingdom",£ 1150,       2        Bed     ,       2        Bath     ,,,, Chad Valley, B16 8LP, United Kingdom,No,No,No,No,No,No,No,No,3841
3842,"Al Khair School, Causeway Green Road, Langley Green, B68 8LA, United Kingdom",£ 695,       1        Bed     ,       1        Bath     ,,,, Langley Green, B68 8LA, United Kingdom,No,No,No,No,No,No,No,No,3842
3843,"23 Alton Road, Selly Oak, B29 7DU, United Kingdom",£ 3640,       6        Bed     ,       6        Bath     ,,,, Selly Oak, B29 7DU, United Kingdom,No,No,No,No,No,No,No,No,3843
3844,"184 Alcester Road South, Kings Heath, B14 6DE, United Kingdom",£ 950,       2        Bed     ,       1        Bath     ,,,, Kings Heath, B14 6DE, United Kingdom,No,No,No,No,No,No,No,No,3844
3845,"Hawthorn Way, Walkers Heath, B38 9FJ, United Kingdom",£ 900,       2        Bed     ,       1        Bath     ,,,, Walkers Heath, B38 9FJ, United Kingdom,No,No,No,No,No,No,No,No,3845
3846,"19 Ten Acres Mews, Stirchley, B30 2BF, United Kingdom",£ 2080,       4        Bed     ,       2        Bath     ,,,, Stirchley, B30 2BF, United Kingdom,No,No,No,No,No,No,No,No,3846
3847,"214 Heeley Road, Selly Oak, B29 6EN, United Kingdom",£ 3324,       6        Bed     ,       6        Bath     ,,,, Selly Oak, B29 6EN, United Kingdom,No,No,No,No,No,No,No,No,3847
3848,"unnamed road, Kings Norton, B38 8TH, United Kingdom",£ 1750,       4        Bed     ,,,,, Kings Norton, B38 8TH, United Kingdom,No,No,No,No,No,No,No,No,3848
3849,"Bradshaw Close, Park Central, B15 2DF, United Kingdom",£ 1250,       2        Bed     ,       2        Bath     ,,,, Park Central, B15 2DF, United Kingdom,No,No,No,No,No,No,No,No,3849
3850,"261 Heeley Road, Selly Oak, B29 6EL, United Kingdom",£ 3913,       7        Bed     ,       7        Bath     ,,,, Selly Oak, B29 6EL, United Kingdom,No,No,No,No,No,No,No,No,3850
3851,"664 Pershore Road, Kings Heath, B29 7NR, United Kingdom",£ 680,              Studio     ,       1        Bath     ,,,, Kings Heath, B29 7NR, United Kingdom,No,No,No,No,No,No,No,No,3851
3852,"73 Hubert Road, Selly Oak, B29 6EE, United Kingdom",£ 2665,       5        Bed     ,       3        Bath     ,,,, Selly Oak, B29 6EE, United Kingdom,No,No,No,No,No,No,No,No,3852
3853,"20 Dartmouth Road, Selly Oak, B29 6DR, United Kingdom",£ 2816,       5        Bed     ,       5        Bath     ,,,, Selly Oak, B29 6DR, United Kingdom,No,No,No,No,No,No,No,No,3853
3854,"128 Tiverton Road, Selly Oak, B29 6BT, United Kingdom",£ 542,       6        Bed     ,       6        Bath     ,,,, Selly Oak, B29 6BT, United Kingdom,No,No,No,No,No,No,No,No,3854
3855,"Ripon Road, Darlaston, WS2 9UU, United Kingdom",£ 995,       3        Bed     ,       2        Bath     ,,,, Darlaston, WS2 9UU, United Kingdom,No,No,No,No,No,No,No,No,3855
3856,"Birmingham, B12 0NP, United Kingdom",£ 5627 ,       2        Bed     ,       1        Bath     ,,,,, B12 0NP, United Kingdom,No,Yes,No,No,No,No,No,No,3856
3857,"221 Hubert Road, Selly Oak, B29 6ES, United Kingdom",£ 2990,       6        Bed     ,       3        Bath     ,,,, Selly Oak, B29 6ES, United Kingdom,No,No,No,No,No,No,No,No,3857
3858,"Radisson Blu hotel, 12 Holloway Circus Queensway, Attwood Green, B1 1BT, United Kingdom",£ 2000,       2        Bed     ,       2        Bath     ,,,, Attwood Green, B1 1BT, United Kingdom,No,No,No,No,No,No,No,No,3858
3859,"Edenhurst Rd / Hopwood Grove, Edenhurst Road, Longbridge, B31 4PP, United Kingdom",£ 1400,       3        Bed     ,       2        Bath     ,,,, Longbridge, B31 4PP, United Kingdom,No,No,No,No,No,No,No,No,3859
3860,"53 Rebecca Drive, Selly Oak, B29 6TP, United Kingdom",£ 1495,       3        Bed     ,       1        Bath     ,,,, Selly Oak, B29 6TP, United Kingdom,No,No,No,No,No,No,No,No,3860
3861,"Buttonbox, Warstone Lane, Aston, B1 3AL, United Kingdom",£ 1200,       2        Bed     ,       2        Bath     ,,,, Aston, B1 3AL, United Kingdom,No,No,No,No,No,No,No,No,3861
3862,"Juggling Kites, Bristol Road, Selly Oak, B29 6NF, United Kingdom",£ 862,              Studio     ,       1        Bath     ,,,, Selly Oak, B29 6NF, United Kingdom,No,No,No,No,No,No,No,No,3862
3863,"164 Dawlish Road, Selly Oak, B29 7AR, United Kingdom",£ 390,       9        Bed     ,       4        Bath     ,,,, Selly Oak, B29 7AR, United Kingdom,No,No,No,No,No,No,No,No,3863
3864,"35 Oxford Street, Stirchley, B30 2LH, United Kingdom",£ 2008,       4        Bed     ,       2        Bath     ,,,, Stirchley, B30 2LH, United Kingdom,No,No,No,No,No,No,No,No,3864
3865,"54 Tiverton Road, Selly Oak, B29 6BP, United Kingdom",£ 3259,       6        Bed     ,       4        Bath     ,,,, Selly Oak, B29 6BP, United Kingdom,No,No,No,No,No,No,No,No,3865
3866,"154 Milner Road, Stirchley, B29 7RG, United Kingdom",£ 2364,       6        Bed     ,       2        Bath     ,,,, Stirchley, B29 7RG, United Kingdom,No,No,No,No,No,No,No,No,3866
3867,"M1 Property Group, Alcester Road, Kings Heath, B13 8LH, United Kingdom",£ 1200,       2        Bed     ,       1        Bath     ,,,, Kings Heath, B13 8LH, United Kingdom,No,No,No,No,No,No,No,No,3867
3868,"16 Milner Road, Stirchley, B29 7RQ, United Kingdom",£ 412,       6        Bed     ,       3        Bath     ,,,, Stirchley, B29 7RQ, United Kingdom,No,No,No,No,No,No,No,No,3868
3869,"Elford Road, Weoley Castle, B29 5SL, United Kingdom",£ 1300,       2        Bed     ,       1        Bath     ,,,, Weoley Castle, B29 5SL, United Kingdom,No,No,No,No,No,No,No,No,3869
3870,"287 Heeley Road, Selly Oak, B29 6EL, United Kingdom",£ 477,       6        Bed     ,       3        Bath     ,,,, Selly Oak, B29 6EL, United Kingdom,No,No,No,No,No,No,No,No,3870
3871,"70 Alton Road, Selly Oak, B29 7DX, United Kingdom",£ 2184,       4        Bed     ,       2        Bath     ,,,, Selly Oak, B29 7DX, United Kingdom,No,No,No,No,No,No,No,No,3871
3872,"Hemisphere, The Ashes, Highgate, B5 7SB, United Kingdom",£ 1200,       2        Bed     ,       2        Bath     ,,,, Highgate, B5 7SB, United Kingdom,No,No,No,No,No,No,No,No,3872
3873,"Lombard Street, Highgate, B12 0AE, United Kingdom",£ 949,       1        Bed     ,       1        Bath     ,,,, Highgate, B12 0AE, United Kingdom,No,No,No,No,No,No,No,No,3873
3874,"Alfred Knight Way, Park Central, B15 2BG, United Kingdom",£ 1200,       2        Bed     ,       1        Bath     ,,,, Park Central, B15 2BG, United Kingdom,No,No,No,No,No,No,No,No,3874
3875,"Birmingham, B16 8WJ, United Kingdom",£ 6748 ,              Studio     ,,,,,, B16 8WJ, United Kingdom,No,No,No,No,No,No,No,No,3875
3876,"313 Tiverton Road, Selly Oak, B29 6DA, United Kingdom",£ 1040,       3        Bed     ,       1        Bath     ,,,, Selly Oak, B29 6DA, United Kingdom,No,No,No,No,No,No,No,No,3876
3877,"The Cube, 196 Salvage Turn Bridge, Park Central, B1 1RN, United Kingdom",£ 3746,       2        Bed     ,       1        Bath     ,       65        m     ,No,150, Park Central, B1 1RN, United Kingdom,Yes,No,No,No,No,No,No,No,3877
3878,"6 Holly Grove, Selly Oak, B29 6EQ, United Kingdom",£ 2492,       5        Bed     ,       2        Bath     ,,,, Selly Oak, B29 6EQ, United Kingdom,No,No,No,No,No,No,No,No,3878
3879,"20 Dartmouth Road, Selly Oak, B29 6DR, United Kingdom",£ 2880,       5        Bed     ,       5        Bath     ,,,, Selly Oak, B29 6DR, United Kingdom,No,No,No,No,No,No,No,No,3879
3880,"47 Winnie Road, Selly Oak, B29 6JU, United Kingdom",£ 390,       5        Bed     ,       3        Bath     ,,,, Selly Oak, B29 6JU, United Kingdom,No,No,No,No,No,No,No,No,3880
3881,"The Joint, 500 Bristol Road, Selly Oak, B29 6AU, United Kingdom",£ 1300,       2        Bed     ,       2        Bath     ,,,, Selly Oak, B29 6AU, United Kingdom,No,No,No,No,No,No,No,No,3881
3882,"550 Streetsbrook Road, Sharmans Cross, B91 1QY, United Kingdom",£ 950,       1        Bed     ,       1        Bath     ,,,, Sharmans Cross, B91 1QY, United Kingdom,No,No,No,No,No,No,No,No,3882
3883,"30 Dawlish Road, Selly Oak, B29 7AE, United Kingdom",£ 2275,       5        Bed     ,       2        Bath     ,,,, Selly Oak, B29 7AE, United Kingdom,No,No,No,No,No,No,No,No,3883
3884,"Our Lady of Fatima, Lunt Grove, Birmingham, B32 1LN, United Kingdom",£ 600,              Studio     ,       1        Bath     ,,,, Birmingham, B32 1LN, United Kingdom,No,No,No,No,No,No,No,No,3884
3885,"6 Maple Croft, Kings Heath, B13 0PF, United Kingdom",£ 1200,       3        Bed     ,       1        Bath     ,,,, Kings Heath, B13 0PF, United Kingdom,No,No,No,No,No,No,No,No,3885
3886,"Leahurst Crescent, Harborne, B17 0LG, United Kingdom",£ 630,       1        Bed     ,       2        Bath     ,,,, Harborne, B17 0LG, United Kingdom,No,No,No,No,No,No,No,No,3886
3887,"Postbox, Upper Marshall Street, Attwood Green, B1 1LJ, United Kingdom",£ 1200,       2        Bed     ,       1        Bath     ,,,, Attwood Green, B1 1LJ, United Kingdom,No,No,No,No,No,No,No,No,3887
3888,"Reservoir Road, Metchley, B29 6ST, United Kingdom",£ 1248,       3        Bed     ,       2        Bath     ,,,, Metchley, B29 6ST, United Kingdom,No,No,No,No,No,No,No,No,3888
3889,"70 Langleys Road, Selly Oak, B29 6HP, United Kingdom",£ 412,       7        Bed     ,       3        Bath     ,,,, Selly Oak, B29 6HP, United Kingdom,No,No,No,No,No,No,No,No,3889
3890,"Cherrywood Road, Streetly, B74 3RT, United Kingdom",£ 1200,       3        Bed     ,       1        Bath     ,,,, Streetly, B74 3RT, United Kingdom,No,No,No,No,No,No,No,No,3890
3891,"23 Croydon Road, Selly Oak, B29 7BP, United Kingdom",£ 3042,       7        Bed     ,       4        Bath     ,,,, Selly Oak, B29 7BP, United Kingdom,No,No,No,No,No,No,No,No,3891
3892,"Birmingham, B17 8LD, United Kingdom",£ 2071 ,       1        Bed     ,       1        Bath     ,       377        Sq Ft     ,No,,, B17 8LD, United Kingdom,No,No,Yes,No,No,No,No,No,3892
3893,"Sam's Launderette, 59 Raddlebarn Road, Selly Oak, B29 6HQ, United Kingdom",£ 2275,       5        Bed     ,       3        Bath     ,,,, Selly Oak, B29 6HQ, United Kingdom,No,No,No,No,No,No,No,No,3893
3894,"Birmingham, B25 8YG, United Kingdom",£ 18295 ,       9        Bed     ,       4        Bath     ,,Yes,,, B25 8YG, United Kingdom,No,No,Yes,No,No,No,No,No,3894
3895,"52, 54 Heneage Street, Vauxhall, B7 4NF, United Kingdom",£ 1690,       3        Bed     ,       1        Bath     ,,,, Vauxhall, B7 4NF, United Kingdom,No,No,No,No,No,No,No,No,3895
3896,"The Distillery, 23 Sheepcote Street, Park Central, B16 8EB, United Kingdom",£ 1050,       1        Bed     ,       1        Bath     ,,,, Park Central, B16 8EB, United Kingdom,No,No,No,No,No,No,No,No,3896
3897,"90 Heeley Road, Selly Oak, B29 6EZ, United Kingdom",£ 1820,       4        Bed     ,       1        Bath     ,,,, Selly Oak, B29 6EZ, United Kingdom,No,No,No,No,No,No,No,No,3897
3898,"744 Pershore Road, Stirchley, B29 7NJ, United Kingdom",£ 1695,       3        Bed     ,       2        Bath     ,,,, Stirchley, B29 7NJ, United Kingdom,No,No,No,No,No,No,No,No,3898
3899,"152 Bournbrook Road, Selly Oak, B29 7DD, United Kingdom",£ 5027,       8        Bed     ,       8        Bath     ,,,, Selly Oak, B29 7DD, United Kingdom,No,No,No,No,No,No,No,No,3899
3900,"23 Charles Edward Road, Yardley, B26 1BT, United Kingdom",£ 950,       1        Bed     ,       1        Bath     ,,,, Yardley, B26 1BT, United Kingdom,No,No,No,No,No,No,No,No,3900
3901,"61 Alton Road, Selly Oak, B29 7DX, United Kingdom",£ 377,       7        Bed     ,       3        Bath     ,,,, Selly Oak, B29 7DX, United Kingdom,No,No,No,No,No,No,No,No,3901
3902,"69 Institute Road, Kings Heath, B14 7EY, United Kingdom",£ 1000,       2        Bed     ,       1        Bath     ,,,, Kings Heath, B14 7EY, United Kingdom,No,No,No,No,No,No,No,No,3902
3903,"Granville Lofts, Holliday Street, Park Central, B1 1FF, United Kingdom",£ 4376,       3        Bed     ,       2        Bath     ,       92        m     ,No,, Park Central, B1 1FF, United Kingdom,Yes,No,Yes,No,No,No,No,No,3903
3904,"112 Heeley Road, Selly Oak, B29 6EZ, United Kingdom",£ 520,       6        Bed     ,       6        Bath     ,,,, Selly Oak, B29 6EZ, United Kingdom,No,No,No,No,No,No,No,No,3904
3905,"901 Bristol Road, Selly Oak, B29 6ND, United Kingdom",£ 1300,       3        Bed     ,       1        Bath     ,,,, Selly Oak, B29 6ND, United Kingdom,No,No,No,No,No,No,No,No,3905
3906,"37 Heeley Road, Selly Oak, B29 6DP, United Kingdom",£ 2051,       4        Bed     ,       2        Bath     ,,,, Selly Oak, B29 6DP, United Kingdom,No,No,No,No,No,No,No,No,3906
3907,"Tenby Street South, Aston, B1 3DN, United Kingdom",£ 1100,              Studio     ,,,,, Aston, B1 3DN, United Kingdom,No,No,No,No,No,No,No,No,3907
3908,"1036 Pershore Road, Stirchley, B29 7PX, United Kingdom",£ 2425,       5        Bed     ,       5        Bath     ,,,, Stirchley, B29 7PX, United Kingdom,No,No,No,No,No,No,No,No,3908
3909,"Highcroft Hospital, Highcroft Road, Gravelly Hill, B23 6GS, United Kingdom",£ 900,       2        Bed     ,,,,, Gravelly Hill, B23 6GS, United Kingdom,No,No,No,No,No,No,No,No,3909
3910,"Walsall, WS2 7BL, United Kingdom",£ 2972 ,       2        Bed     ,       1        Bath     ,       11        Sq Ft     ,No,,, WS2 7BL, United Kingdom,No,No,Yes,No,Yes,No,No,No,3910
3911,"Robannas Studios, 54 Cliveland Street, Aston, B19 3SN, United Kingdom",£ 1300,       2        Bed     ,       1        Bath     ,,,, Aston, B19 3SN, United Kingdom,No,No,No,No,No,No,No,No,3911
3912,"20 Woodthorpe Road, Brandwood End, B14 6EL, United Kingdom",£ 1400,       3        Bed     ,       1        Bath     ,,,, Brandwood End, B14 6EL, United Kingdom,No,No,No,No,No,No,No,No,3912
3913,"Birmingham, B29 6AG, United Kingdom",£ 3216 ,              Studio     ,       1        Bath     ,       215        Sq Ft     ,No,,, B29 6AG, United Kingdom,No,No,No,No,Yes,No,No,No,3913
3914,"St Catherines Close, Attwood Green, B15 2FN, United Kingdom",£ 1400,       2        Bed     ,       2        Bath     ,,,, Attwood Green, B15 2FN, United Kingdom,No,No,No,No,No,No,No,No,3914
3915,"185 Gibbins Road, Selly Oak, B29 6NH, United Kingdom",£ 795,       1        Bed     ,,,,, Selly Oak, B29 6NH, United Kingdom,No,No,No,No,No,No,No,No,3915
3916,"90 Heeley Road, Selly Oak, B29 6EZ, United Kingdom",, 6  Bed , 2  Bath ,,,, Selly Oak, B29 6EZ, United Kingdom,No,No,No,No,No,No,No,No,3916
3917,"45 Rookery Road, Selly Oak, B29 7DG, United Kingdom",£ 2470,       6        Bed     ,       2        Bath     ,,,, Selly Oak, B29 7DG, United Kingdom,No,No,No,No,No,No,No,No,3917
3918,"58 Westminster Road, Stirchley, B29 7RS, United Kingdom",£ 952,       2        Bed     ,       1        Bath     ,,,, Stirchley, B29 7RS, United Kingdom,No,No,No,No,No,No,No,No,3918
3919,"Belgrave Rd / Frank St, Belgrave Middleway, Highgate, B12 9AW, United Kingdom",£ 3344,       2        Bed     ,       2        Bath     ,,,, Highgate, B12 9AW, United Kingdom,No,No,No,No,No,No,No,No,3919
3920,"Landmark Place, Station Terrace, Cardiff, CF10 2FY, United Kingdom",£ 1850,       3        Bed     ,       2        Bath     ,,,, Cardiff, CF10 2FY, United Kingdom,No,No,No,No,No,No,No,No,3920
3921,"41 Theobald Road, Cardiff, CF5 1AY, United Kingdom",£ 1600,       4        Bed     ,       1        Bath     ,,,, Cardiff, CF5 1AY, United Kingdom,No,No,No,No,No,No,No,No,3921
3922,"Bromsgrove Street, Cardiff, CF11 7ET, United Kingdom",£ 1100,       2        Bed     ,       2        Bath     ,,,, Cardiff, CF11 7ET, United Kingdom,No,No,No,No,No,No,No,No,3922
3923,"Cathays Terrace, Cardiff, CF24 4DW, United Kingdom",£ 625,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF24 4DW, United Kingdom,No,No,No,No,No,No,No,No,3923
3924,"Arts and Social Studies Library, Cathays Terrace, Cardiff, CF10 3EU, United Kingdom",£ 2850,       5        Bed     ,       2        Bath     ,,,, Cardiff, CF10 3EU, United Kingdom,No,No,No,No,No,No,No,No,3924
3925,"Hind Close, Cardiff, CF24 2EF, United Kingdom",£ 1050,       2        Bed     ,       1        Bath     ,,,, Cardiff, CF24 2EF, United Kingdom,No,No,No,No,No,No,No,No,3925
3926,"Canada Road, Cardiff, CF14 3BX, United Kingdom",£ 650,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF14 3BX, United Kingdom,No,No,No,No,No,No,No,No,3926
3927,"Miskin Street, Cardiff, CF24 4AB, United Kingdom",£ 900,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF24 4AB, United Kingdom,No,No,No,No,No,No,No,No,3927
3928,"Lowther Road, Richmond Road, Cardiff, CF24 3BT, United Kingdom",£ 1250,       1        Bed     ,,,,, Cardiff, CF24 3BT, United Kingdom,No,No,No,No,No,No,No,No,3928
3929,"Adamsdown, CF24 1RS, United Kingdom",£ 2607 ,       1        Bed     ,       1        Bath     ,       269        Sq Ft     ,No,,, CF24 1RS, United Kingdom,No,No,Yes,No,No,No,No,No,3929
3930,"Glynrhondda Street, Cardiff, CF24 4AN, United Kingdom",£ 1200,       2        Bed     ,,,,, Cardiff, CF24 4AN, United Kingdom,No,No,No,No,No,No,No,No,3930
3931,"Lady Isle House, Butetown Link, Cardiff, CF11 7TQ, United Kingdom",£ 2950,       2        Bed     ,       3        Bath     ,,,, Cardiff, CF11 7TQ, United Kingdom,No,No,No,No,No,No,No,No,3931
3932,"Llantwit Street, Cardiff, CF24 4AA, United Kingdom",£ 4000,       8        Bed     ,       3        Bath     ,,,, Cardiff, CF24 4AA, United Kingdom,No,No,No,No,No,No,No,No,3932
3933,"Cardiff University, Maindy Road, Cardiff, CF24 4HQ, United Kingdom",£ 650,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF24 4HQ, United Kingdom,No,No,No,No,No,No,No,No,3933
3934,"Glynrhondda Street, Cardiff, CF24 4AN, United Kingdom",£ 880,       1        Bed     ,,,,, Cardiff, CF24 4AN, United Kingdom,No,No,No,No,No,No,No,No,3934
3935,"Llanbleddian Gardens, Cardiff, CF24 4AT, United Kingdom",£ 1100,       1        Bed     ,,,,, Cardiff, CF24 4AT, United Kingdom,No,No,No,No,No,No,No,No,3935
3936,"Dough, Cranbrook Street, Cardiff, CF24 4BF, United Kingdom",£ 3150,       7        Bed     ,       3        Bath     ,,,, Cardiff, CF24 4BF, United Kingdom,No,No,No,No,No,No,No,No,3936
3937,"Golate Court, Golate Street, Cardiff, CF10 1EU, United Kingdom",£ 1150,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF10 1EU, United Kingdom,No,No,No,No,No,No,No,No,3937
3938,"Saint David's Centre, Charles Street, Cardiff, CF10 2BE, United Kingdom",£ 1600,       2        Bed     ,,,,, Cardiff, CF10 2BE, United Kingdom,No,No,No,No,No,No,No,No,3938
3939,"Cardiff & Vale College - The Parade, The Parade, Cardiff, CF24 3AB, United Kingdom",£ 875,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF24 3AB, United Kingdom,No,No,No,No,No,No,No,No,3939
3940,"141 Mackintosh Place, Cardiff, CF24 4RQ, United Kingdom",£ 3150,       7        Bed     ,       4        Bath     ,,,, Cardiff, CF24 4RQ, United Kingdom,No,No,No,No,No,No,No,No,3940
3941,"Janet Street, Cardiff, CF24 2DU, United Kingdom",£ 650,              Studio     ,       1        Bath     ,,,, Cardiff, CF24 2DU, United Kingdom,No,No,No,No,No,No,No,No,3941
3942,"146, Treharris Street",£ 4750 ,              Studio     ,,,,,, Treharris Street,,No,No,Yes,No,Yes,No,No,No,3942
3943,"The Interchange, Central Square, Cardiff, CF10 1FA, United Kingdom",£ 2435,       3        Bed     ,       2        Bath     ,,,, Cardiff, CF10 1FA, United Kingdom,No,No,No,No,No,No,No,No,3943
3944,"Oakford Close, Cardiff, CF23 8AH, United Kingdom",£ 1100,       2        Bed     ,       1        Bath     ,,,, Cardiff, CF23 8AH, United Kingdom,No,No,No,No,No,No,No,No,3944
3945,"31 Fitzhamon Embankment, Cardiff, CF11 6AN, United Kingdom",£ 1450,       3        Bed     ,       1        Bath     ,,,, Cardiff, CF11 6AN, United Kingdom,No,No,No,No,No,No,No,No,3945
3946,"Llanbleddian Gardens, Cardiff, CF24 4AT, United Kingdom",£ 524,       1        Bed     ,,,,, Cardiff, CF24 4AT, United Kingdom,No,No,No,No,No,No,No,No,3946
3947,"Platform_ Cardiff, Dumballs Road, Cardiff, CF10 5GD, United Kingdom",£ 1715,       2        Bed     ,       2        Bath     ,,,, Cardiff, CF10 5GD, United Kingdom,No,No,No,No,No,No,No,No,3947
3948,"89 Woodville Road, Cardiff, CF24 4DZ, United Kingdom",£ 3220,       7        Bed     ,       1        Bath     ,,,, Cardiff, CF24 4DZ, United Kingdom,No,No,No,No,No,No,No,No,3948
3949,"Burford Gardens, Cardiff, CF11 0AP, United Kingdom",£ 1800,       4        Bed     ,       2        Bath     ,,,, Cardiff, CF11 0AP, United Kingdom,No,No,No,No,No,No,No,No,3949
3950,"Tesco Express, 58-60 Salisbury Road, Cardiff, CF24 4AD, United Kingdom",£ 950,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF24 4AD, United Kingdom,No,No,No,No,No,No,No,No,3950
3951,"Rome House, Dumballs Road, Cardiff, CF10 5FS, United Kingdom",£ 995,              Studio     ,,,,, Cardiff, CF10 5FS, United Kingdom,No,No,No,No,No,No,No,No,3951
3952,"20 Harriet Street, Cardiff, CF24 4BU, United Kingdom",£ 3760,       8        Bed     ,       3        Bath     ,,,, Cardiff, CF24 4BU, United Kingdom,No,No,No,No,No,No,No,No,3952
3953,"Templeton Avenue, Cardiff, CF14 5JL, United Kingdom",£ 875,       1        Bed     ,       1        Bath     ,,,, Cardiff, CF14 5JL, United Kingdom,No,No,No,No,No,No,No,No,3953
3954,"Hughs Close, Cardiff, CF5 2RT, United Kingdom",£ 1300,       3        Bed     ,       1        Bath     ,,,, Cardiff, CF5 2RT, United Kingdom,No,No,No,No,No,No,No,No,3954
3955,"Adamsdown, CF24 1DN, United Kingdom",£ 2850 ,       1        Bed     ,       1        Bath     ,,,,, CF24 1DN, United Kingdom,No,No,Yes,No,Yes,No,No,No,3955
3956,"12 Woodville Road, Cardiff, CF24 4EA, United Kingdom",£ 1450,       2        Bed     ,       1        Bath     ,,,, Cardiff, CF24 4EA, United Kingdom,No,No,No,No,No,No,No,No,3956
3957,"The Moorlands, Moorland Road, Cardiff, CF24 2LX, United Kingdom",£ 1195,       2        Bed     ,       1        Bath     ,,,, Cardiff, CF24 2LX, United Kingdom,No,No,No,No,No,No,No,No,3957
